topic,cntry,year,attitude,dweight
atchctr,DE,2016,10,559.9505404233938
atchctr,DE,2016,NA,7.4220314025878995
atchctr,DE,2018,0,24.986656200941912
atchctr,DE,2018,1,17.990392464678173
atchctr,DE,2018,2,44.975981161695444
atchctr,DE,2018,3,71.9615698587127
atchctr,DE,2018,4,77.95836734693876
atchctr,DE,2018,5,172.5374882260596
atchctr,DE,2018,6,188.89912087912083
atchctr,DE,2018,7,349.81318681318675
atchctr,DE,2018,8,588.315447409733
atchctr,DE,2018,9,332.82226059654624
atchctr,DE,2018,10,479.7437990580847
atchctr,DE,2018,NA,7.995729984301409
atchctr,DK,2002,0,0
atchctr,DK,2002,1,0
atchctr,DK,2002,2,0
atchctr,DK,2002,3,0
atchctr,DK,2002,4,0
atchctr,DK,2002,5,0
atchctr,DK,2002,6,0
atchctr,DK,2002,7,0
atchctr,DK,2002,8,0
atchctr,DK,2002,9,0
atchctr,DK,2002,10,0
atchctr,DK,2002,NA,1506
atchctr,DK,2004,0,0
atchctr,DK,2004,1,0
atchctr,DK,2004,2,0
atchctr,DK,2004,3,0
atchctr,DK,2004,4,0
atchctr,DK,2004,5,0
atchctr,DK,2004,6,0
atchctr,DK,2004,7,0
atchctr,DK,2004,8,0
atchctr,DK,2004,9,0
atchctr,DK,2004,10,0
atchctr,DK,2004,NA,1487
atchctr,DK,2006,0,0
atchctr,DK,2006,1,0
atchctr,DK,2006,2,0
atchctr,DK,2006,3,0
atchctr,DK,2006,4,0
atchctr,DK,2006,5,0
atchctr,DK,2006,6,0
atchctr,DK,2006,7,0
atchctr,DK,2006,8,0
atchctr,DK,2006,9,0
atchctr,DK,2006,10,0
atchctr,DK,2006,NA,1505
atchctr,DK,2008,0,0
atchctr,DK,2008,1,0
atchctr,DK,2008,2,0
atchctr,DK,2008,3,0
atchctr,DK,2008,4,0
atchctr,DK,2008,5,0
atchctr,DK,2008,6,0
atchctr,DK,2008,7,0
atchctr,DK,2008,8,0
atchctr,DK,2008,9,0
atchctr,DK,2008,10,0
atchctr,DK,2008,NA,1610
atchctr,DK,2010,0,0
atchctr,DK,2010,1,0
atchctr,DK,2010,2,0
atchctr,DK,2010,3,0
atchctr,DK,2010,4,0
atchctr,DK,2010,5,0
atchctr,DK,2010,6,0
atchctr,DK,2010,7,0
atchctr,DK,2010,8,0
atchctr,DK,2010,9,0
atchctr,DK,2010,10,0
atchctr,DK,2010,NA,1576
atchctr,DK,2012,0,0
atchctr,DK,2012,1,0
atchctr,DK,2012,2,0
atchctr,DK,2012,3,0
atchctr,DK,2012,4,0
atchctr,DK,2012,5,0
atchctr,DK,2012,6,0
atchctr,DK,2012,7,0
atchctr,DK,2012,8,0
atchctr,DK,2012,9,0
atchctr,DK,2012,10,0
atchctr,DK,2012,NA,1650
atchctr,DK,2014,0,0
atchctr,DK,2014,1,0
atchctr,DK,2014,2,0
atchctr,DK,2014,3,0
atchctr,DK,2014,4,0
atchctr,DK,2014,5,0
atchctr,DK,2014,6,0
atchctr,DK,2014,7,0
atchctr,DK,2014,8,0
atchctr,DK,2014,9,0
atchctr,DK,2014,10,0
atchctr,DK,2014,NA,1502
atchctr,DK,2016,0,0
atchctr,DK,2016,1,0
atchctr,DK,2016,2,0
atchctr,DK,2016,3,0
atchctr,DK,2016,4,0
atchctr,DK,2016,5,0
atchctr,DK,2016,6,0
atchctr,DK,2016,7,0
atchctr,DK,2016,8,0
atchctr,DK,2016,9,0
atchctr,DK,2016,10,0
atchctr,DK,2016,NA,0
atchctr,DK,2018,0,2
atchctr,DK,2018,1,4
atchctr,DK,2018,2,7
atchctr,DK,2018,3,15
atchctr,DK,2018,4,12
atchctr,DK,2018,5,52
